Ma sinh vien,Ho ten,Nam sinh,Diem trung tuyen,Diem TB
65122244,Le Van,2002,25.1,8.1
85110046,Dang Minh,2002,29.8,9.4
72151342,Hoang Van,2003,28.6,8.2
76020955,Bui Duc,2002,26.5,8.6
38331739,Vu Minh,2003,29.4,9.7
11024470,Pham Thi,2003,28.1,7.6
20639280,Tran Thanh,2002,29.0,7.8
25408803,Huynh Huong,2003,29.9,9.5
42491124,Le Tuan,2002,25.3,8.5
48190156,Do Minh,2003,25.3,8.3
41430832,Do Tuan,2003,25.7,8.9
12076554,Bui Van,2003,25.8,7.8
22235538,Pham Nhu,2002,27.2,9.3
18758473,Vu Van,2002,26.9,9.9
61809541,Hoang Van,2002,28.5,8.5
54037333,Do Thi,2002,26.0,8.7
92689239,Nguyen Thi,2003,25.3,8.9
63533199,Tran Hoan,2003,29.2,8.1
71032250,Le Tuan,2002,29.4,8.3
82416883,Huynh Van,2003,27.1,9.3
24129727,Le Hai,2002,30.0,8.4
89698941,Nguyen Hai,2002,25.9,7.6
48731296,Nguyen Duc,2003,28.9,8.9
54080761,Do Thanh,2003,27.6,8.3
41577783,Nguyen Van,2002,26.9,9.1
48634092,Dang Nhu,2002,28.0,8.6
66935048,Vu Minh,2003,27.7,9.1
65122244,Le Van,2002,25.1,8.1
85110046,Dang Minh,2002,29.8,9.4
72151342,Hoang Van,2003,28.6,8.2
76020955,Bui Duc,2002,26.5,8.6
38331739,Vu Minh,2003,29.4,9.7
11024470,Pham Thi,2003,28.1,7.6
20639280,Tran Thanh,2002,29.0,7.8
25408803,Huynh Huong,2003,29.9,9.5
42491124,Le Tuan,2002,25.3,8.5
48190156,Do Minh,2003,25.3,8.3
41430832,Do Tuan,2003,25.7,8.9
12076554,Bui Van,2003,25.8,7.8
22235538,Pham Nhu,2002,27.2,9.3
18758473,Vu Van,2002,26.9,9.9
61809541,Hoang Van,2002,28.5,8.5
54037333,Do Thi,2002,26.0,8.7
92689239,Nguyen Thi,2003,25.3,8.9
63533199,Tran Hoan,2003,29.2,8.1
71032250,Le Tuan,2002,29.4,8.3
82416883,Huynh Van,2003,27.1,9.3
24129727,Le Hai,2002,30.0,8.4
89698941,Nguyen Hai,2002,25.9,7.6
48731296,Nguyen Duc,2003,28.9,8.9
54080761,Do Thanh,2003,27.6,8.3
41577783,Nguyen Van,2002,26.9,9.1
48634092,Dang Nhu,2002,28.0,8.6
66935048,Vu Minh,2003,27.7,9.1
87035825,Le Tuan,2003,27.3,9.0
30035555,Le Thi,2002,28.2,8.1
93457969,Pham Duc,2003,27.1,8.8
27812792,Pham Huong,2002,26.9,9.0
29032471,Hoang Nhu,2002,25.0,8.9
99554175,Vu Hoan,2003,27.2,8.8
71956736,Dang Hoan,2002,28.6,9.4
68776457,Dang Hoan,2002,29.2,8.0
32011178,Tran Van,2002,28.8,7.6
29704195,Le Minh,2003,27.6,9.0
76175319,Pham Tuan,2002,28.2,8.5
23637588,Le Nhu,2003,28.7,9.2
90616661,Huynh Thi,2002,27.0,7.6
46465106,Dang Thanh,2002,25.2,8.4
44115142,Pham Tuan,2003,27.3,8.7
54159909,Pham Tuan,2002,29.5,8.0
42107930,Tran Thanh,2002,26.6,8.2
26103560,Bui Nhu,2002,27.0,8.6
12084962,Vu Nhu,2003,29.2,8.7
86730283,Le Tuan,2003,29.7,9.1
28450141,Hoang Duc,2003,27.1,8.8
87035825,Le Tuan,2003,27.3,9.0
30035555,Le Thi,2002,28.2,8.1
93457969,Pham Duc,2003,27.1,8.8
27812792,Pham Huong,2002,26.9,9.0
